entry_time,exit_time,right,strike,entry_option,exit_option,pnl_dollar,pnl_pct,exit_reason,underlying,order_size,date
2026-01-28 11:55:00-05:00,2026-01-28 12:00:00-05:00,P,694.0,1.23,1.07,-1210.2,-14.1,stop_loss,695.06,70,2026-01-28
2026-01-28 12:05:00-05:00,2026-01-28 12:10:00-05:00,P,694.0,1.06,0.94,-1096.99,-13.4,stop_loss,695.46,77,2026-01-28
2026-01-28 12:20:00-05:00,2026-01-28 12:30:00-05:00,P,694.0,1.08,1.21,806.79,10.2,profit_target,694.56,73,2026-01-28
2026-01-28 12:25:00-05:00,2026-01-28 12:45:00-05:00,P,693.0,0.73,0.64,-1241.96,-15.8,stop_loss,694.95,107,2026-01-28
2026-01-29 09:35:00-05:00,2026-01-29 09:40:00-05:00,P,695.0,1.43,3.15,9203.89,119.2,profit_target,693.21,54,2026-01-29
2026-01-29 09:45:00-05:00,2026-01-29 09:50:00-05:00,P,693.0,1.87,2.23,1925.24,18.1,profit_target,692.98,57,2026-01-29
2026-01-29 11:15:00-05:00,2026-01-29 11:20:00-05:00,P,686.0,2.12,1.88,-1376.15,-12.0,stop_loss,687.81,54,2026-01-29
2026-01-29 09:30:00-05:00,2026-01-29 11:30:00-05:00,C,698.0,1.0,0.99,-231.0,-3.0,max_hold_time,688.15,77,2026-01-29
2026-01-29 11:35:00-05:00,2026-01-29 11:40:00-05:00,C,689.0,2.33,2.24,-486.85,-4.5,stop_loss,688.47,46,2026-01-29
2026-01-29 11:45:00-05:00,2026-01-29 11:50:00-05:00,C,690.0,1.93,1.73,-1219.83,-11.5,stop_loss,688.47,55,2026-01-29
2026-01-29 12:05:00-05:00,2026-01-29 12:10:00-05:00,C,690.0,2.11,2.57,2167.03,21.0,profit_target,690.58,49,2026-01-29
2026-01-29 12:15:00-05:00,2026-01-29 12:25:00-05:00,C,691.0,2.14,2.04,-571.45,-5.2,stop_loss,691.03,51,2026-01-29
2026-01-29 12:30:00-05:00,2026-01-29 12:40:00-05:00,C,691.0,1.81,1.48,-2117.39,-19.5,stop_loss,690.71,60,2026-01-29
2026-01-29 12:35:00-05:00,2026-01-29 12:40:00-05:00,C,690.0,2.4,2.01,-1867.78,-17.3,stop_loss,690.71,45,2026-01-29
2026-01-29 12:55:00-05:00,2026-01-29 13:00:00-05:00,P,690.0,2.05,1.64,-1963.42,-20.8,stop_loss,689.76,46,2026-01-29
2026-01-29 13:05:00-05:00,2026-01-29 13:10:00-05:00,P,691.0,1.93,1.64,-1422.97,-16.1,stop_loss,690.89,46,2026-01-29
2026-01-29 13:15:00-05:00,2026-01-29 13:20:00-05:00,P,689.0,0.98,0.9,-891.72,-10.7,stop_loss,690.75,85,2026-01-29
2026-01-29 13:25:00-05:00,2026-01-29 13:30:00-05:00,C,691.0,1.7,1.56,-764.4,-9.6,stop_loss,690.71,47,2026-01-29
2026-01-29 13:35:00-05:00,2026-01-29 13:40:00-05:00,C,692.0,1.41,1.33,-574.92,-7.4,stop_loss,691.31,55,2026-01-29
2026-01-29 13:45:00-05:00,2026-01-29 13:50:00-05:00,C,692.0,1.34,1.13,-1311.81,-17.2,stop_loss,691.14,57,2026-01-29
2026-01-29 13:55:00-05:00,2026-01-29 14:00:00-05:00,P,692.0,2.28,2.03,-841.04,-11.9,stop_loss,691.0,31,2026-01-29
2026-01-30 09:30:00-05:00,2026-01-30 09:40:00-05:00,P,691.0,2.42,2.77,917.88,13.6,profit_target,692.64,28,2026-01-30
2026-02-02 11:25:00-05:00,2026-02-02 11:55:00-05:00,C,698.0,2.1,1.46,-2234.74,-31.3,stop_loss,695.75,34,2026-02-02
2026-02-03 09:30:00-05:00,2026-02-03 09:35:00-05:00,C,698.0,1.17,1.07,-674.01,-10.5,stop_loss,695.73,55,2026-02-03
2026-02-03 09:40:00-05:00,2026-02-03 09:50:00-05:00,P,694.0,1.33,2.02,3148.58,50.5,profit_target,694.94,47,2026-02-03
2026-02-03 09:55:00-05:00,2026-02-03 10:00:00-05:00,C,695.0,2.48,2.26,-693.01,-9.6,stop_loss,692.89,29,2026-02-03
2026-02-03 09:45:00-05:00,2026-02-03 11:45:00-05:00,C,698.0,1.54,1.53,-120.0,-1.9,max_hold_time,691.15,40,2026-02-03
2026-02-03 12:45:00-05:00,2026-02-03 12:55:00-05:00,P,686.0,1.59,1.72,486.04,7.0,profit_target,687.7,44,2026-02-03
2026-02-03 12:50:00-05:00,2026-02-03 12:55:00-05:00,P,688.0,2.5,2.6,229.45,3.3,profit_target,687.7,28,2026-02-03
2026-02-03 13:00:00-05:00,2026-02-03 13:05:00-05:00,P,687.0,2.07,1.97,-449.15,-6.2,stop_loss,687.99,35,2026-02-03
